age,gender,total_sleep_hours,sleep_quality,exercise_mins_day,caffeine_intake_mg,screen_time_before_bed_mins,work_hours_hrs_day,productivity_score,mood_score,stress_level,exercise_cat
41,Other,5.25,4,75,172,129,4.097624578544356,3,3,4,high
44,Male,9.3,8,37,133,22,7.696046429153061,10,8,2,medium
29,Male,8.04,10,30,50,28,4.833975728414476,9,6,7,low
38,Female,5.12,9,0,54,114,8.730203485959434,5,9,5,low
43,Male,7.19,6,1,209,161,11.347637799514407,3,6,8,low
23,Male,6.31,6,25,155,113,9.308298976133685,7,1,4,low
37,Female,7.18,8,48,256,140,7.178544923660783,3,8,3,medium
47,Male,6.39,8,18,17,0,10.204220933560084,2,2,6,low
21,Male,4.88,3,31,265,109,8.21262773327435,1,7,7,medium
46,Male,5.77,7,58,254,71,4.832868655876591,5,3,3,medium
25,Female,9.44,8,45,164,141,6.345181842088106,2,7,10,medium
38,Other,7.42,2,1,196,147,6.686926857198681,2,3,7,low
37,Male,8.37,9,52,279,80,10.947743807183302,8,7,1,medium
26,Female,5.79,6,21,234,3,5.058209689002643,2,7,5,low
35,Male,6.99,2,16,164,152,7.979719151839125,7,5,10,low
48,Female,5.75,9,52,172,144,7.350164199136585,10,2,6,medium
53,Other,6.45,8,10,163,112,9.772262888975243,8,3,6,low
41,Female,6.92,10,35,238,147,5.296111023132677,4,1,2,medium
19,Male,6.26,1,88,60,170,8.786288466145237,9,7,3,high
47,Female,6.3,1,60,16,73,9.524481859565125,1,8,3,medium
34,Other,7.69,8,24,88,11,5.769675534556818,10,9,10,low
33,Other,7.28,6,6,269,78,9.57936213797472,9,3,8,low
35,Other,8.72,2,58,102,16,9.201338803545823,8,3,2,medium
43,Other,7.36,8,3,209,160,11.087821985889498,10,2,7,low
51,Female,5.43,2,31,95,122,11.9834728842667,4,1,5,medium
27,Female,7.11,1,48,2,172,6.836977261126212,2,4,2,medium
18,Male,6.64,1,87,139,36,10.290760115324415,6,7,8,high
30,Female,9.46,8,19,62,53,8.861894359030874,10,2,9,low
20,Female,7.65,7,48,8,98,8.778192579442727,1,10,3,medium
41,Other,5.62,8,88,67,141,10.88101453134339,9,8,3,high
42,Female,8.55,8,24,260,138,4.695894079291281,8,6,8,low
43,Female,5.6,5,76,80,113,7.961172216111795,3,10,3,high
44,Male,8.89,3,79,167,91,10.804653832753935,9,9,5,high
44,Female,8.91,10,30,22,169,5.030958939787562,5,7,2,low
46,Other,4.92,1,16,222,97,9.07204562479689,8,3,6,low
49,Female,7.66,5,21,195,147,9.503085778406508,2,4,1,low
18,Female,4.73,2,13,191,174,11.751022842285533,4,3,4,low
28,Male,6.94,3,74,57,25,5.271506266214052,2,4,1,high
58,Other,8.63,4,31,129,174,9.443994416597704,6,3,1,medium
38,Other,7.69,6,18,256,57,11.152793629433075,2,3,1,low
29,Female,6.87,8,59,144,92,10.212774822333934,2,4,7,medium
41,Female,8.48,9,77,272,125,9.48452229783177,4,9,6,high
19,Other,5.25,5,17,94,165,6.333300629674426,9,1,6,low
41,Male,9.43,6,85,91,147,6.7681325411587165,8,2,1,high
50,Male,4.67,4,25,102,165,8.540326786092464,10,2,2,low
57,Other,8.98,9,5,72,102,8.903553398924847,9,2,8,low
37,Female,6.92,4,79,21,153,7.847230651591879,9,10,2,high
36,Other,8.22,7,52,182,31,7.985565731625112,2,6,2,medium
54,Male,4.91,3,34,92,96,10.723619250215467,1,5,10,medium
54,Female,4.7,1,50,95,104,7.508923353516724,5,2,4,medium
29,Other,7.66,1,25,7,99,11.272260165325129,7,10,2,low
31,Other,7.46,6,16,27,65,10.863890031381649,5,1,8,low
48,Other,6.71,10,9,256,132,5.989714180701039,1,9,6,low
54,Other,6.87,1,43,155,110,10.946170244106067,4,2,2,medium
46,Male,6.76,5,58,160,178,4.332582872403137,10,4,5,medium
51,Male,8.84,8,42,177,150,9.334914060368837,4,7,4,medium
59,Other,5.44,7,7,156,95,5.876490346678629,6,2,1,low
43,Other,6.99,1,25,135,46,8.564877973110637,8,9,4,low
36,Other,6.47,5,89,219,62,11.817393473770538,9,9,9,high
58,Other,6.52,4,18,81,140,10.382509190869076,3,1,8,low
42,Male,6.33,7,14,92,160,5.90035304699462,1,3,6,low
25,Female,8.3,9,2,84,25,11.61182847732793,2,6,5,low
42,Male,7.4,4,14,42,175,8.395313907443626,2,5,7,low
32,Male,6.4,4,20,140,18,4.811366627593732,4,5,4,low
45,Other,4.95,2,1,76,131,10.58539212476528,7,10,7,low
59,Male,9.31,4,6,171,119,8.211993553230247,7,6,6,low
45,Male,7.73,8,41,71,151,6.827371034421745,10,5,4,medium
36,Other,4.98,4,73,241,68,5.344113661958907,3,2,1,high
54,Other,5.53,10,72,77,76,8.755810681489384,9,2,3,high
56,Male,9.46,3,67,217,101,8.627095336051273,7,4,8,high
20,Male,5.63,9,67,268,48,10.654904906011376,5,5,8,high
20,Female,6.17,6,1,214,171,9.294713518795028,1,3,2,low
25,Female,9.29,9,54,207,105,4.773411597173757,9,7,1,medium
20,Female,6.5,8,4,247,107,5.949253728510933,5,4,6,low
50,Male,8.41,2,13,291,150,6.104900559286743,2,9,5,low
28,Other,9.21,2,54,261,162,10.290207654056756,6,5,4,medium
59,Female,6.4,8,29,133,66,10.320243490456493,4,9,5,low
44,Female,9.29,2,9,24,24,7.834835521102814,1,4,1,low
20,Other,5.23,5,7,24,78,11.70492089271339,4,2,6,low
19,Other,4.81,3,33,265,88,4.465310364043806,2,8,9,medium
45,Female,5.39,1,3,259,102,5.831156838772909,5,7,4,low
55,Other,8.93,3,6,154,91,7.853078772278899,7,5,6,low
44,Male,5.8,10,86,64,12,4.096966197151146,2,5,5,high
49,Male,7.24,5,51,255,116,7.9059290961742255,4,2,4,medium
57,Other,6.47,6,41,20,41,11.136677511521874,9,1,8,medium
46,Male,4.69,8,20,283,33,7.090791278786524,6,8,1,low
40,Male,8.19,1,86,100,7,4.333383204819074,9,7,1,high
52,Male,8.19,10,30,227,138,11.76599966136536,3,7,3,low
22,Male,8.32,10,37,110,111,11.742880278760245,8,8,9,medium
32,Female,5.78,4,77,104,168,11.678612144607431,7,2,10,high
29,Other,7.51,5,31,287,31,9.251828858652022,10,1,8,medium
57,Other,6.44,2,21,212,171,5.5797639188794985,1,8,5,low
56,Male,7.22,5,12,148,125,10.735988423120492,8,7,7,low
39,Other,7.2,2,1,28,179,10.54228263885556,3,7,8,low
39,Other,7.04,6,18,22,156,4.750055365164453,9,5,8,low
33,Male,8.91,4,63,9,148,9.864570368237398,7,2,9,high
26,Female,8.7,1,77,13,120,11.664587840955042,9,4,3,high
23,Other,6.34,4,19,23,153,7.132205585422635,5,6,8,low
37,Male,6.9,3,87,228,79,5.803510043709551,4,4,8,high
47,Female,4.61,3,48,210,149,9.563325186624423,10,6,5,medium
53,Female,6.67,2,62,115,112,8.785802352509911,9,6,1,high
37,Other,6.55,7,8,89,143,5.6234909405992175,4,10,2,low
47,Female,7.99,3,18,34,45,5.804330639405861,5,5,4,low
22,Female,4.75,7,34,128,23,9.836065829219171,6,9,6,medium
48,Male,4.84,10,29,219,134,5.975830392575999,8,10,6,low
30,Female,6.94,8,83,249,106,5.113962968940761,4,2,1,high
28,Other,6.47,10,13,164,57,11.836406723054054,5,3,7,low
41,Male,9.36,9,60,160,177,9.760064317304906,10,9,7,medium
50,Male,6.52,9,38,85,176,8.348305738741168,6,6,2,medium
39,Male,6.81,3,38,85,75,4.498184847055085,8,6,10,medium
49,Other,7.22,4,85,142,119,5.010030262340908,6,4,9,high
45,Female,4.83,3,71,43,96,7.125826924908906,3,6,7,high
36,Male,5.52,10,7,296,163,6.211533524667169,8,7,9,low
57,Female,7.98,2,6,258,26,6.215235899022471,8,6,1,low
25,Male,8.6,5,3,245,18,11.05933094725871,7,1,7,low
30,Female,8.91,7,26,24,130,8.219196976981411,9,4,2,low
52,Male,5.98,6,49,133,59,6.514800905469987,2,9,5,medium
45,Female,8.06,8,89,189,160,5.918992902047558,4,2,9,high
28,Male,7.39,1,68,107,138,10.749898611253794,3,1,4,high
19,Other,4.85,7,69,200,147,5.817436456188119,8,7,7,high
42,Other,5.56,3,56,116,45,10.073989864486744,4,1,7,medium
30,Other,9.04,7,58,90,97,7.576444350451403,6,4,5,medium
31,Other,4.71,8,13,153,101,6.2402986364039155,9,3,3,low
45,Male,8.13,7,18,119,165,4.961977812093405,4,8,1,low
50,Male,4.87,9,58,221,40,4.385142687826828,4,8,2,medium
39,Male,7.16,1,47,157,11,8.662454680667917,2,5,5,medium
50,Male,9.05,4,34,215,64,4.201135666218182,7,8,6,medium
32,Male,5.32,6,20,37,19,10.310418111242877,3,4,7,low
39,Male,5.81,8,33,256,71,9.07283225101065,6,6,9,medium
29,Female,5.2,10,64,92,108,7.85632846489666,8,3,4,high
30,Male,4.54,8,42,89,38,10.420685436638504,1,10,6,medium
41,Male,8.59,5,50,58,166,8.598236434115321,7,3,1,medium
29,Male,7.54,1,44,89,102,11.632265020680324,5,8,9,medium
40,Female,4.8,4,81,145,67,7.070711064359836,4,2,5,high
45,Male,4.9,9,38,257,28,9.42935965338052,2,3,10,medium
26,Male,5.36,6,26,116,1,8.23993218341135,3,8,2,low
29,Other,4.92,10,84,61,48,5.728410920093498,9,7,8,high
38,Female,6.52,7,72,121,29,7.571356131212657,2,3,3,high
32,Male,6.09,10,56,117,99,7.14379380276233,8,7,2,medium
21,Male,6.23,4,18,156,145,9.095218539637946,1,1,6,low
25,Female,7.4,6,64,30,131,5.338877865109024,2,5,8,high
20,Other,5,6,63,233,50,4.186816770625487,5,10,5,high
54,Female,6.87,6,67,273,112,4.7056136303189655,4,1,6,high
58,Male,5.34,5,86,41,97,6.074679178536756,3,10,1,high
38,Other,6.24,8,12,110,97,7.911182654339611,3,1,3,low
57,Female,7.6,5,84,7,27,10.820462255212428,5,4,6,high
44,Male,6.27,6,20,245,138,8.394579835225393,5,1,8,low
29,Female,6.81,4,69,182,101,8.179553163243716,8,7,9,high
31,Other,8.64,4,6,162,47,11.968983597115528,8,4,1,low
25,Other,5.78,5,12,188,30,9.872238100714451,2,6,6,low
27,Female,6.29,2,40,151,34,5.685639710937625,9,3,3,medium
57,Other,4.72,4,24,36,0,4.552236327102797,8,8,5,low
26,Other,8,8,22,264,33,4.6211946773728405,4,6,3,low
31,Male,4.86,3,15,65,167,4.90345314148809,2,10,6,low
19,Female,5.98,2,38,214,119,7.240821556220531,6,7,5,medium
34,Male,4.67,3,52,274,56,10.076891429598373,1,7,7,medium
27,Female,7.27,4,31,13,177,9.711621060052718,4,5,8,medium
21,Male,8.1,7,30,289,81,10.59022472080932,9,1,9,low
46,Female,7.47,1,86,87,49,7.735743999708886,6,5,9,high
45,Other,5.15,9,26,161,171,8.574473308857229,2,3,3,low
29,Other,7.94,10,28,216,119,9.406781971714691,7,5,5,low
28,Male,9.22,9,20,210,139,11.995729985725044,1,5,6,low
58,Other,5.54,3,70,12,140,7.326380005499601,2,9,9,high
39,Male,8.27,2,8,215,7,9.213118083818213,2,3,6,low
57,Female,8.95,3,12,48,117,10.256122679463738,5,5,10,low
55,Female,5.12,10,34,110,101,8.24750142729675,6,4,8,medium
43,Female,6.77,1,57,282,169,10.161265694056768,9,2,5,medium
49,Male,8.2,7,56,125,11,4.010829005723745,5,4,7,medium
26,Other,7.53,8,71,44,58,6.423325830665541,3,9,2,high
32,Other,7.41,8,8,118,132,8.245898842294686,4,2,6,low
43,Other,7.61,10,44,266,103,11.251367711315496,1,1,4,medium
48,Male,7.95,2,4,83,51,5.842007365684117,8,6,1,low
38,Female,5.87,6,61,209,77,8.37261713625836,3,6,8,high
50,Male,8.47,6,40,271,67,11.61143848289466,8,10,9,medium
54,Male,5.38,6,81,153,133,5.520861198269821,3,2,1,high
33,Female,6.46,10,7,93,64,7.665877203142671,1,4,8,low
46,Female,8.68,4,27,254,170,4.368453873519651,10,8,2,low
39,Male,6.51,10,8,247,154,11.638775944307746,1,9,7,low
47,Other,6.72,10,77,16,17,11.93953831499823,4,5,2,high
18,Female,9.37,7,9,202,40,4.31143970660534,10,1,1,low
58,Male,8.1,8,50,148,98,6.610707447455898,3,3,7,medium
57,Male,8.4,10,83,241,115,5.635687088437694,8,9,3,high
45,Female,4.85,3,36,194,110,10.487028648063347,8,4,2,medium
20,Female,7.2,8,22,68,94,5.0229344097793405,9,9,9,low
54,Male,5.63,6,84,211,2,11.061875045387376,6,4,6,high
22,Male,6.01,5,24,111,154,6.171508621073602,9,6,4,low
38,Female,7.81,7,30,201,31,5.338570432008483,9,1,10,low
21,Other,8.3,6,64,190,50,6.9542461617243285,9,8,2,high
49,Other,9.1,7,38,125,56,6.192572714737528,9,9,6,medium
20,Male,8.14,7,63,64,80,7.044141678959156,4,4,2,high
52,Female,9.35,7,3,215,58,8.008703042097576,6,9,1,low
22,Other,5.09,3,18,203,79,5.0537202286327485,10,9,4,low
40,Female,7.86,5,71,6,118,8.573967865149989,7,3,3,high
33,Male,5.94,5,26,139,144,11.479955454710122,5,9,5,low
50,Female,6.17,6,68,46,166,11.555588661554427,4,6,7,high
36,Female,9.45,8,81,201,104,11.84294992753748,10,10,1,high
22,Female,5.45,4,40,218,176,7.180899028422965,3,10,2,medium
19,Female,5.22,7,38,218,156,11.404177662815048,4,9,6,medium
19,Female,8.02,6,78,282,9,7.605491799511305,6,9,4,high
19,Male,5.09,9,9,78,58,9.89228182667834,5,8,6,low
47,Male,7.64,4,6,136,163,11.517212090348066,10,4,9,low
59,Female,5.01,2,26,53,177,4.741003864410938,5,9,4,low
26,Other,7.45,1,42,40,169,9.606941086891457,8,7,1,medium
49,Other,5.57,5,42,289,39,6.838886645969183,2,3,10,medium
33,Female,6.17,2,37,126,18,7.948007937235266,8,3,10,medium
44,Female,8.35,1,72,106,88,6.668854312232345,1,6,5,high
38,Female,5.74,6,39,113,106,11.490244971751412,2,2,6,medium
30,Female,4.78,6,87,206,128,10.115525824604036,6,2,9,high
46,Male,9.21,2,70,108,46,9.481074478995872,3,4,5,high
29,Other,7.18,5,60,51,87,10.314342786557486,7,7,5,medium
59,Female,8.88,5,60,136,5,8.426969517998174,3,7,6,medium
34,Other,6.57,6,72,284,164,7.288748871043518,4,7,1,high
38,Female,8.45,6,32,208,125,5.325985415721766,10,3,10,medium
53,Female,7.54,7,46,245,126,5.873626967410673,8,8,9,medium
50,Other,6.56,10,64,140,128,9.05135136974701,1,5,7,high
43,Male,6.46,1,66,6,57,8.062440511670232,5,1,1,high
42,Other,7.3,5,31,281,123,11.052507639526056,6,9,8,medium
46,Male,5.52,3,70,205,156,5.467537571227476,2,9,3,high
47,Male,9.01,2,7,21,5,7.115239511831002,9,8,4,low
35,Female,9.45,4,63,220,122,4.342700440952906,3,3,3,high
57,Other,6.82,4,74,121,106,11.434307218096476,2,1,9,high
51,Male,4.74,4,7,200,57,10.255679817263673,7,10,4,low
46,Other,5.47,6,28,214,130,7.465304890521331,10,4,10,low
59,Female,8.06,8,58,39,129,7.398806742944696,10,1,10,medium
43,Other,6.66,6,66,165,60,6.596094401402737,5,10,4,high
32,Other,8.3,6,87,203,160,7.458769811226778,1,5,6,high
49,Other,7.65,2,47,216,55,5.608521216399561,8,8,7,medium
55,Female,5.75,6,37,175,26,11.991140896266325,10,3,3,medium
30,Male,8.96,5,53,290,85,4.11505156857668,8,2,1,medium
32,Other,9.19,5,84,124,137,7.1247488606542575,4,3,2,high
42,Other,6.4,2,54,27,58,7.754281818606323,5,2,4,medium
59,Female,4.77,2,26,54,119,11.533535893264244,5,5,7,low
58,Female,5.28,7,3,192,142,5.633332473345944,6,6,2,low
37,Female,7.55,8,19,221,165,8.287480630816946,8,10,2,low
19,Female,7.46,8,42,149,147,4.253950122983909,8,10,1,medium
33,Female,5.56,8,47,154,87,11.076666343369505,9,3,3,medium
34,Other,7.59,5,19,230,52,11.802745067832564,1,1,10,low
28,Female,5.55,2,19,49,101,11.539067632018217,4,5,4,low
57,Other,6.13,8,55,59,137,6.051704488134128,1,4,4,medium
55,Other,4.91,2,30,10,45,10.4304391238678,5,6,10,low
41,Other,5.37,7,16,64,56,9.721491638241927,5,8,2,low
35,Other,7.82,10,14,166,12,11.915609047720451,9,8,4,low
35,Male,6.96,6,82,248,47,7.2544384076137884,7,7,4,high
30,Male,5.38,3,76,187,89,10.95684865979822,6,4,7,high
55,Other,5.43,3,27,130,149,8.830807860322224,6,8,7,low
29,Male,7.37,5,61,126,168,6.021168244970293,5,10,4,high
37,Male,5.83,1,14,272,151,7.889043881719393,2,7,8,low
43,Other,6.84,1,27,188,15,8.922029226259312,6,2,1,low
30,Female,8.64,5,20,111,54,9.172803551589295,3,4,9,low
48,Male,5.89,9,51,136,110,5.2854366776947614,3,2,9,medium
29,Male,9.07,8,71,154,11,7.03801218335454,8,10,3,high
48,Male,7.28,5,84,55,133,6.9270864764550435,6,5,3,high
58,Male,6.23,1,20,114,62,4.3319933374646356,7,1,6,low
19,Female,8.92,4,85,217,176,6.252928336845054,10,4,10,high
53,Other,8.47,3,55,283,128,4.711917718850773,8,1,8,medium
21,Female,4.96,8,75,286,118,11.744611051605869,9,2,3,high
59,Male,8.27,10,82,151,4,4.918375418010241,1,3,9,high
40,Other,8.29,4,86,175,111,6.173065450194957,9,2,3,high
39,Male,5.08,10,51,24,20,8.668840296064797,10,5,6,medium
40,Other,8.6,6,22,191,39,7.196150276695478,9,4,1,low
28,Male,4.99,5,54,36,55,4.7373436677794585,6,5,9,medium
57,Other,7.16,7,89,204,122,9.985286611101484,6,10,9,high
38,Other,5.08,9,75,277,39,11.915454126237051,1,1,9,high
59,Male,4.88,3,79,7,174,4.414287109862535,6,10,1,high
31,Male,5.61,8,60,142,53,10.095068894899551,1,5,8,medium
40,Male,9.19,10,19,197,58,9.251276828005256,2,4,1,low
31,Male,5.08,3,62,238,162,4.614424386515372,3,4,4,high
57,Male,9,2,64,287,163,7.305380137661756,10,5,4,high
33,Female,5.6,2,30,258,135,8.019418297331011,9,7,2,low
56,Female,5.93,10,17,196,116,7.427663230790364,2,7,5,low
21,Male,5.76,2,14,95,5,6.6016895702096905,3,10,1,low
21,Male,6.23,6,69,290,21,5.059236907971637,6,7,10,high
29,Other,6.65,9,72,278,82,11.096954537789587,5,4,7,high
51,Male,6.71,10,77,93,118,10.439709843194036,9,3,4,high
27,Other,8.65,6,44,208,125,10.947276191575472,9,10,2,medium
33,Male,8.79,10,15,261,107,6.509652096416522,10,4,7,low
43,Other,7.33,8,6,190,110,8.10546467005423,8,1,1,low
22,Female,6.75,5,29,150,143,6.655986353902121,7,4,5,low
32,Other,5.31,10,20,63,164,10.081287438321272,4,4,9,low
53,Female,7.9,5,53,29,44,6.700259727070551,2,6,4,medium
53,Male,6.56,6,78,147,8,8.364656974336532,2,2,5,high
28,Male,4.67,2,76,297,136,5.249612063444794,7,4,3,high
48,Other,8.34,4,9,129,59,9.322921667351237,7,5,8,low
38,Other,8.59,1,74,46,105,10.331708327116152,10,8,4,high
28,Female,8.73,3,26,181,48,9.460259676301773,6,4,6,low
59,Male,8.24,10,46,245,21,4.976059308615112,2,9,2,medium
42,Female,5.13,10,72,9,95,10.45406051031301,4,7,2,high
48,Male,4.75,5,27,124,102,8.002228281662083,10,5,2,low
51,Female,5.22,4,44,21,126,9.58266228404136,4,8,9,medium
55,Other,8.28,5,67,148,103,5.022197222319924,7,6,1,high
24,Female,4.97,9,53,43,97,6.546096331085807,4,7,8,medium
31,Other,4.57,3,16,82,109,4.1031797583162035,7,8,4,low
42,Other,7.54,9,71,246,128,6.519347556711166,7,7,6,high
46,Female,9.48,3,64,57,110,6.546432757538779,2,4,6,high
50,Other,7.83,4,19,72,166,10.982875372525315,6,3,6,low
30,Male,5.92,4,52,42,41,8.188508636238847,3,10,7,medium
45,Male,4.79,7,50,267,10,9.102193134764732,6,2,3,medium
45,Male,7.22,4,46,262,10,11.261883465420102,4,9,10,medium
54,Female,9.12,9,53,115,117,9.024956249948572,1,7,10,medium
40,Female,9.35,10,24,53,28,6.71444213847654,4,3,1,low
47,Male,6.76,9,50,105,46,8.93142541897496,6,4,10,medium
59,Other,9.27,9,73,137,134,8.202067350252666,2,6,4,high
51,Male,7.99,4,0,70,177,10.975304490244044,3,8,8,low
44,Female,5.36,3,46,250,30,8.765438593292236,1,7,10,medium
47,Female,8.46,4,17,89,0,6.584797613330698,10,7,10,low
23,Female,6.61,5,29,248,169,7.850223609753896,5,6,7,low
29,Other,7.33,5,14,257,179,4.192881547269335,6,2,3,low
54,Female,4.74,10,10,67,122,8.704003707437028,1,2,8,low
23,Female,7.49,7,15,166,155,7.320999516277769,3,7,1,low
39,Male,8.32,10,38,270,156,4.098728368482992,3,3,10,medium
32,Other,6.49,3,66,7,121,5.162613539364033,4,3,5,high
33,Male,5.51,5,70,14,70,4.352526892563051,9,6,8,high
33,Female,6.76,2,11,187,153,10.054064721975426,9,4,9,low
30,Other,4.88,9,50,55,154,10.127772598841432,9,8,4,medium
51,Other,7.25,8,47,93,172,5.895391951173788,9,4,6,medium
35,Female,5.06,2,54,202,146,11.940116961295772,5,10,6,medium
39,Other,5.47,7,59,186,32,10.660894186609047,4,1,5,medium
52,Female,7.34,6,15,27,162,7.168007731084922,8,7,7,low
43,Male,5.54,7,63,157,76,8.750245055547618,7,1,5,high
44,Male,4.85,8,50,169,134,10.241701188285068,4,6,9,medium
48,Male,7.55,1,86,147,100,11.295676673597065,1,9,2,high
23,Other,4.96,2,39,258,116,7.773195926004763,8,3,2,medium
41,Male,5.48,1,88,225,146,10.467159058432184,9,6,3,high
36,Male,5.49,7,17,33,88,8.441070294025508,6,5,10,low
56,Other,7.09,4,17,87,124,10.49492899208304,4,8,9,low
21,Male,5.27,4,68,246,4,8.516725111467707,2,2,4,high
58,Other,4.79,5,10,98,41,10.872894061175332,8,5,10,low
19,Female,5.55,8,63,150,156,6.427084349033065,3,5,7,high
48,Female,4.77,2,24,12,121,8.600484587670518,10,7,6,low
37,Male,6.53,3,61,143,127,11.274021555495938,4,9,7,high
31,Male,7.71,3,48,143,110,6.139322227776861,3,8,2,medium
59,Male,8.79,10,33,35,152,11.294549029488731,2,7,6,medium
42,Other,7.73,10,27,74,165,4.041117020684482,3,10,5,low
47,Other,9.23,6,58,108,128,8.78271989476548,8,8,6,medium
20,Female,8.8,1,79,229,171,5.556280265347873,10,5,1,high
54,Male,6.8,5,47,223,2,9.67511057459509,3,4,1,medium
31,Female,9.31,2,35,246,7,9.561499729680524,9,2,8,medium
30,Male,6.29,9,81,191,152,5.106972757764453,8,6,2,high
38,Male,5.48,2,42,272,79,6.053177657488766,2,4,5,medium
22,Other,5.52,5,41,184,65,4.001816305746044,4,6,6,medium
46,Female,8.88,7,64,96,0,4.953125375968385,4,2,1,high
53,Female,5.66,2,87,55,112,7.134487156937373,2,6,1,high
56,Male,8.81,7,53,285,97,7.685868801933391,3,7,8,medium
57,Female,7.19,1,51,284,148,8.27728738460419,9,10,3,medium
37,Other,6.04,1,23,82,62,4.491401034078661,3,6,4,low
59,Female,6.2,2,16,293,141,9.39214027907174,8,6,3,low
